filename,name,slug,category,suggested_category,tags,description,price,needs_review,status,content_hash,source_path
07861fdb40bf214902bc3fefb0964103.jpg,"""Excuse Me"" Reaction",excuse-me-reaction,Anime,Meme stickers,"reaction, funny, laughing, meme","A cheerful laughing reaction sticker with a playful ""Excuse Me"" caption for your stuff.",25,true,draft,5d1c1be29ec13043f66bc10cc5b0417afb5c262622611f382346f24e60603894,Anime/07861fdb40bf214902bc3fefb0964103.jpg
0a43b92d5b8cccd2db6ecb0732688f29.jpg,Fuck Off Spray,fuck-off-spray,Anime,Meme stickers,"novelty, funny, sarcastic, spray can, mature",A joke spray-can sticker promising to keep annoying people away for hours.,25,true,draft,61d0efd8a5b901ffc625db1d65d61184ff22d355807083e663927d6d3458da7d,Anime/0a43b92d5b8cccd2db6ecb0732688f29.jpg
10b028a42ff361b535df8f0c35b10fa5.jpg,Rock Lee Heart Eyes,rock-lee-heart-eyes,Anime,,"naruto, anime, rock lee, love, cute",Rock Lee from Naruto throwing hearts with a big lovestruck smile.,25,false,active,f7d8bed5b9eb05a66a45cfb6c5abce6882827e954b2d06b5647e3135b17abedd,Anime/10b028a42ff361b535df8f0c35b10fa5.jpg
11c8890ca44e13bdaae6de4828500142.jpg,Eat Sleep Anime Repeat,eat-sleep-anime-repeat,Anime,,"anime, lifestyle, funny, otaku","A fun icon sticker for anime fans who live by eat, sleep, anime, repeat.",25,false,active,435085b2b566f25a04d21917c45537375393f539822192275cc4c3379d84f3cf,Anime/11c8890ca44e13bdaae6de4828500142.jpg
230bcc0aa36704307046c3e526b99057.jpg,Dispreshan Crying Face,dispreshan-crying-face,Anime,Meme stickers,"meme, crying, funny, reaction","An exaggerated crying cartoon face meme captioned ""dispreshan"" for dramatic moments.",25,true,draft,68c6a237e0ca2e236249f7ea5181ca851719ed10bf6783813c9a74a086927bf6,Anime/230bcc0aa36704307046c3e526b99057.jpg
2b2dbbfeebe22113f43417b063d14435.jpg,Chubby Luffy,chubby-luffy,Anime,,"one piece, luffy, anime, funny, meme","A round, cheeky meme version of Luffy from One Piece flexing his arms.",25,false,active,b7a0caea9d2bff3330639c69c41d8a646b76215ed915d6f95296bf919799bce3,Anime/2b2dbbfeebe22113f43417b063d14435.jpg
30bf9339ef332191394d0d23765d208d.jpg,Judging Cat,judging-cat,Anime,Meme stickers,"cat, meme, funny, sunglasses","A deadpan cat wearing sunglasses with the caption ""Yes, I'm Judging You.""",25,false,active,d0077b43ce3c287c86649c9074eaca0a9f5203b182dd0a102d22e8cfd0c33b6d,Anime/30bf9339ef332191394d0d23765d208d.jpg
3802e0235a1434995a50162a50b7e9e6.jpg,"""First Of All, Ew"" Reaction",first-of-all-ew-reaction,Anime,Meme stickers,"reaction, sassy, funny, quote","A sassy reaction sticker with the quote ""First of all, ew. Second of all, ew.""",25,true,draft,53941acce9a99714fdd92e2af56dc8167ee832eed5c69da66f50286d4faf6429,Anime/3802e0235a1434995a50162a50b7e9e6.jpg
44987152cab5afd1392154ae81b3067f.jpg,Sailor Moon Crying,sailor-moon-crying,Anime,,"sailor moon, anime, crying, emotional, cute","Sailor Moon tearing up with the caption ""A Little Bit Emotional.""",25,false,active,46a8cfcf565397bcaa197989345e40e0ab78549847862351ba624450b69d33a9,Anime/44987152cab5afd1392154ae81b3067f.jpg
45baee148557956995653a04178e2f3f.jpg,Luffy Stretches Zoro,luffy-stretches-zoro,Anime,,"one piece, luffy, zoro, anime, funny",Luffy hilariously stretching his cheek while an annoyed Zoro looks on.,25,false,active,21080e48ed65d1ba307b7b71b970aacff9420a0fa2f867923b07231b0b7550e3,Anime/45baee148557956995653a04178e2f3f.jpg
